Institution Name,Country,Rank,Name,International Research Network,Faculty Student,Web Impact,Citations per Paper,Papers per Faculty,Academic Reputation,Employer Reputation,Staff with PhD
Pontificia Universidad Católica de Chile (UC),Chile,1,UC.CL,99.7,53,81.3,89.5,96,100,100,97.1
Universidade de São Paulo,Brazil,2,USP.BR,100,46.8,100,79.9,100,100,99.1,100
Tecnológico de Monterrey,Mexico,3,ITESM.MX,98.7,99.2,59,98.1,36.2,94.9,99.9,90.3
Universidad de Chile,Chile,4,UCH.CL,99.9,33.6,99.5,90.2,97.2,100,100,82.2
Universidade Estadual de Campinas,Brazil,5,UNICAMP.BR,99.5,39.1,99.9,87.5,100,99.9,81,100
Universidad de los Andes,Colombia,6,UA.CO,97.9,52.3,92.5,58.4,78.3,99.4,100,90.5
Universidad Nacional Autónoma de México,Mexico,7,UNAM.MX,100,85.6,100,49.4,37.2,100,100,70
Universidad de Buenos Aires (UBA),Argentina,8,UBA.AR,99,96.9,96.8,41.1,17.6,100,100,68.2
Universidade Federal do Rio de Janeiro,Brazil,9,UFRJ.BR,99.7,38.2,100,71.4,96.8,99.3,61.3,100
Universidad Nacional de Colombia,Colombia,10,UNC.CO,97.7,23,94.3,9.9,75,99.8,100,85.6
Universidad de Concepción,Chile,11,UDEC.CL,96.6,48.5,60.8,66,72.7,81.4,87.2,74
UNESP,Brazil,12,UNESP.BR,99.1,51.4,98.6,44.4,100,88.5,54.3,100
Universidad de Antioquia,Colombia,13,UDEA.CO,95.2,15.5,76.4,56.6,64.7,84.7,91.1,76
Universidad de Santiago de Chile (USACH),Chile,14,USACH.CL,90.1,22.5,46.1,41.9,66.3,94.2,97,53.4
Universidade Federal de Minas Gerais,Brazil,15,UFMG.BR,98.9,38.1,95.4,66.3,94.9,88.2,29.5,100
Pontificia Universidad Catolica del Peru,Peru,16,PUCP.PE,84.7,62,79.1,31.3,12.2,94.2,95.9,23.4
Pontifícia Universidade Católica do Rio de Janeiro,Brazil,17,PUC.BR,81.7,25.9,75.7,59.2,99.2,86.4,47.6,100
Pontificia Universidad Javeriana,Colombia,18,PUJ.CO,92.4,20.8,61.9,24.9,43.2,93.2,99.2,28.7
Universidade Federal do Rio Grande Do Sul,Brazil,19,UFRGS.BR,99.7,24.5,98.5,83.1,99.5,85.5,16.6,100
Universidad de Costa Rica,Costa Rica,20,UCR.CR,77.8,61.7,83.8,47,13.6,85.5,88.8,
Universidad Nacional de La Plata (UNLP),Argentina,21,UNLP.AR,85.9,35.2,96.4,46.4,23.6,90.7,54.1,52.3
Pontificia Universidad Católica de Valparaíso,Chile,22,PUCV.CL,93,18.8,27.1,28.4,92.6,76.3,73.4,83.2
Universidade Federal de Santa Catarina,Brazil,23,UFSC.BR,98.5,46.4,99,60.6,93.7,68.8,20.9,100
Universidad Adolfo Ibáñez,Chile,24,UAI.CL,60.1,7.9,25.8,63.9,78,56.8,97.6,97.3
Instituto Politécnico Nacional (IPN),Mexico,25,IPN.MX,97.2,33,58.9,40.8,44.9,71.4,91.6,20.8
Universidade Federal de São Paulo,Brazil,26,UNIFESP.BR,85.3,100,40.7,88.1,87.2,51.5,16.8,100
Universidad Autónoma Metropolitana (UAM),Mexico,27,UAM.MX,81.4,16.5,69,31.4,38.2,79.1,54.6,94.1
Universidad de La Habana,Cuba,28,UH.CU,77.6,92.9,24.3,17.1,20.6,66.3,71.1,72.2
Universidade de Brasília,Brazil,29,UNB.BR,98.7,33.4,90,25,68.5,77.9,25.9,100
Universidad Austral,Argentina,30,UNAU.AR,15.2,97.8,18.4,85.7,10,60.3,82.8,55.2
Universidad Nacional de Córdoba UNC,Argentina,31,UNC.AR,81.8,29.3,85.8,61.1,21.2,73.8,46,69.7
Universidade Federal de São Carlos (UFSCar),Brazil,32,UFSCar.BR,90.4,46.5,66,77.7,99.8,55.7,21.1,100
Universidad Torcuato Di Tella,Argentina,33,UTDT.AR,22.2,52.6,21.9,89.3,60.5,48.4,77.5,100
Universidad Diego Portales (UDP),Chile,34,UDP.CL,91.2,32.1,28.8,99.8,41.1,56.4,77.6,21.3
Universidade Federal do Paraná UFPR,Brazil,35,UFPR.BR,94.6,67.1,90.4,40.8,75.9,52.3,29.4,99.7
Universidad Técnica Federico Santa María (USM),Chile,36,USM.CL,92.5,12.5,26.7,94.3,59.3,42.3,88.5,54.4
Universidad de Puerto Rico,Puerto Rico,37,UPR.PR,88.9,21,71.3,100,31.7,50.5,43.6,100
Universidad Austral de Chile,Chile,38,UACH.CL,96.6,12,47.4,60.5,86.7,58.5,42.2,95.5
Universidad Iberoamericana IBERO,Mexico,39,IBERO.MX,52.1,59,23.6,33.9,8.6,64.1,88.3,45.6
Universidad del Rosario,Colombia,40,UR.CO,52.3,85.6,38.9,33.1,35.6,50.9,86.4,40.3
Universidad Central de Venezuela,Venezuela,41,UCV.VE,71.9,35.9,37.7,31.3,7.9,70.5,89.8,
Instituto Tecnológico Autónomo de México (ITAM),Mexico,42,ITAM.MX,31.3,36,27.9,23.3,21.2,56.3,90.5,86.5
Universidad de Guadalajara (UDG),Mexico,43,UDG.MX,78.8,65.4,85.7,14.2,6,69.1,40.4,54.9
Universidad Autónoma de Nuevo León,Mexico,44,UANL.MX,87.7,8.6,59.7,69.8,14.6,63.2,59,35.8
Pontificia Universidad Católica Argentina,Argentina,45,UCA.AR,11.2,100,33.8,6.8,2.7,68.5,89.4,24.1
Universidade Federal de Pernambuco (UFPE),Brazil,46,UFPE.BR,98.1,54.6,70.8,44.8,61.5,53.2,9.3,99.8
Universidad de la República (Udelar),Uruguay,47,Udelar.UY,86.4,45.5,16.6,53.7,12.1,66.8,57.9,21.3
Universidad de La Sabana,Colombia,48,UNISABANA.CO,35.9,48.9,29.6,26.5,16.8,57.4,91.8,16.5
Universidad Simón Bolívar (USB),Venezuela,49,USB.VE,59.3,33.8,26.4,15.5,53.2,58.5,78.4,25.9
Universidad del Valle,Colombia,50,UNIVALLE.CO,51.4,24.1,34,26.7,28.7,66.8,62.7,39.9
Universidad de las Américas Puebla (UDLAP),Mexico,52,UDLAP.MX,39.9,59.8,36.2,56.2,22,32.5,57.7,99
Universidad de San Andrés UdeSA,Argentina,53,UdeSA.AR,15.7,86.7,18.5,31.2,24.9,29.1,70.9,96.6